pbin,S1,S2,S3,S4
150.0,0.12660446866720765,-0.06342697912796069,-0.010705835149567022,-0.052471654389679045
175.0,0.019958132036145493,-0.007667485891598602,0.029871976295364533,-0.042162622439910535
200.0,0.026404893768734894,-0.027071921428104773,0.027623794222212616,-0.026956766562843626
225.0,0.02966701788780668,-0.024183329213901317,0.02182801715285798,-0.027311705826761568
250.0,0.027626826347115774,-0.02311615002285361,0.02550436914318155,-0.030015045467442825
275.0,0.021976063658549982,-0.01768574623556507,0.024455902179647993,-0.028746219602633793
300.0,0.019486372764616178,-0.01610049566648719,0.021492287973960522,-0.024878165072091285
325.0,0.030214669496283264,-0.009936813787916776,0.0035126690176143782,-0.023790524725980866
350.0,0.03193653046017442,-0.008305110712626629,-0.006010772547641707,-0.017620647199907857
375.0,0.027623653032760487,-0.009100289238855197,-0.0075886241479503624,-0.01093473964595404
400.0,0.023650751601804743,-0.007247453408767868,-0.00740792993663586,-0.008995368256401903
425.0,0.018576660667810163,-0.005336338837407251,-0.004919994370211622,-0.008320327460189958
450.0,0.01423229956129024,-0.0047482166174033225,-0.001033248561586042,-0.008450834382300432
475.0,0.010707416101853884,-0.005727820104314052,0.0021273956524892057,-0.007106991650029926
500.0,0.008421262715279543,-0.0065812492801202715,0.0032002790196381525,-0.005040292454797424
525.0,0.006117284877867668,-0.006259391449984442,0.003206814558528226,-0.0030647079864127846
550.0,0.005985966910062146,-0.007821176924671658,0.0029876305603444564,-0.0011524205457345005
575.0,0.005508833854411144,-0.008686184059774948,0.0030725737836778677,0.00010477642168638113
600.0,0.004464277210876499,-0.007585947028053042,0.002722992122816237,0.00039867769435897316
625.0,0.0035747947419983994,-0.006344867998893111,0.0022346348067454613,0.0005354384501510268
650.0,0.002272664545138081,-0.005585119297681018,0.0021948573395027537,0.0011175974130406274
675.0,0.0020260803829650342,-0.004692109060932204,0.0012962886800056417,0.0013697399979624159
700.0,0.0019834193205765516,-0.004587677021198999,0.0011894363543714093,0.0014148213462505943
725.0,0.0025008749587898116,-0.004455770857601848,2.4776192886211135e-05,0.0019301197059249375
750.0,0.0019969994475141917,-0.003924465611074179,-0.00016626709288125596,0.002093733256442576
775.0,0.0022234680327235523,-0.003571774032073094,-0.00062567373358835,0.0019739797329378916
800.0,0.0018497565088866352,-0.0026101343404887345,-0.000782049268126972,0.001542427099727739
825.0,0.0015191605367190775,-0.0021490020378642782,-0.0008103921637028222,0.001440233664848023
850.0,0.0012597437789581,-0.001569707733745318,-0.0011286255748910179,0.0014385895296782358
875.0,0.0018790751942927564,-0.0018261827452339396,-0.001425215521133616,0.0013723230720752433
900.0,0.0022194504255845793,-0.0019074917195434082,-0.0014983557790091417,0.0011863970729679707
925.0,0.002470766126095203,-0.0018933333851842704,-0.001769618835812281,0.0011921860949026808
950.0,0.002879071370591735,-0.002411789170322809,-0.0016822919888914711,0.0012150097886234335
975.0,0.003089503670946847,-0.0025636044951951042,-0.0017763247114093161,0.0012504255356580174
1000.0,0.003347177675668167,-0.002229577939437455,-0.002134217582398179,0.001016617846167911
1025.0,0.003590733447491168,-0.0021889399900358875,-0.002331476947445843,0.0009296834899892303
1050.0,0.0034442877360660873,-0.0017549403190297852,-0.0027068877763891663,0.0010175403593510879
1075.0,0.003005767009355509,-0.0014796533613776752,-0.003006256589310752,0.0014801429413338063
1100.0,0.003066890055563487,-0.0018103289003041922,-0.0030256968578701304,0.0017691357026095034
1125.0,0.0033073389578039958,-0.0019644263497724523,-0.0035445254798323056,0.002201612871799874
1150.0,0.003364674406782342,-0.0024721064210782018,-0.003703280067285597,0.002810712081581457
1175.0,0.003302942756988614,-0.0029836748859044526,-0.0037569671620456546,0.0034376992909610493
1200.0,0.0033445377831502476,-0.0033525112414740654,-0.0039346101546917644,0.00394258361301425
1225.0,0.0033150046431309477,-0.0035774881853822826,-0.004054653682752818,0.004317137225004153
1250.0,0.002860865070594354,-0.0033661767515287266,-0.004150032110179502,0.004655343791114763
1275.0,0.002546353193388917,-0.0029325523041503487,-0.003972377791436887,0.004358576902197875
1300.0,0.0020614437653598827,-0.0021181433304802155,-0.003608062696513148,0.003664762261634369
1325.0,0.0017145017854680589,-0.0015103261678341973,-0.0033776630266149077,0.003173487408981046
1350.0,0.001506551544276924,-0.0011889342755386778,-0.0029215708937035956,0.0026039536249662376
1375.0,0.0013998450940024831,-0.0010721227885279738,-0.002475850762588383,0.0021481284571129855
1400.0,0.0013608104080442551,-0.00102555976631713,-0.0021144437402011995,0.0017791930984740745
1425.0,0.0015553048788761181,-0.0010265955274402216,-0.002118280802168915,0.0015895714507330183
1450.0,0.001898829060432039,-0.0010664850102592993,-0.0022697874766577364,0.0014374434264841085
1475.0,0.0019127882927092443,-0.0010846219326094975,-0.0020438888523877097,0.0012157224922870746
1500.0,0.0018951578050154794,-0.0009936159798797917,-0.0022468487439839535,0.00134530691884871
1525.0,0.0018080226176415692,-0.0008476424596457477,-0.002376124421153758,0.0014157442631592687
1550.0,0.0017051864475923217,-0.0007981825362493034,-0.0023805853572191893,0.001473581445877059
1575.0,0.0017627218903211173,-0.0009519004010365428,-0.0024249141579937294,0.001614092668709155
1600.0,0.0016524832900497444,-0.0006723030524566909,-0.002545609693787032,0.0015654294561935345
1625.0,0.0014773970820489701,-0.0006520531377094407,-0.002631701747659587,0.0018063578033200578
1650.0,0.0013921718020810658,-0.0004473109572358247,-0.002933359717820494,0.001988498872975697
1675.0,0.0011225447199589844,-0.00031123352001527493,-0.002743029375228634,0.0019317181752853685
1700.0,0.0010344280079856993,-0.00035357166909522064,-0.002677967871836273,0.0019971115329457945
