mixed_b_term,S1,S2,S3,S4
1,0.6056073348254847,1.2458861236075123,-0.49738151721992996,-1.354111941213067
P,1.160246023775778,0.8123572638557683,-0.8308619851281085,-1.1417413025034377
\ln P,0.146860817762202,1.4438951319138065,-0.23486637704227759,-1.3558895726337241
\sqrt{P},-0.9703476586411028,-0.9949053688584819,0.7204443277243542,1.2448086997752308
e^{-P/500},1.1285268258914563,0.8625889897829383,-0.9886173662784286,-1.002498449395962
e^{-P/1200},0.8584803284860537,1.113194908200522,-0.7857663779345562,-1.1859088587520195
(P+50)^{-1},0.9164765011032958,1.0403041590526414,-0.6926082421131304,-1.2641724180428067
(P+500)^{-1},1.0936636360480452,0.8936987953683329,-0.8703978075772643,-1.1169646238391129
