train_count,test_count,category,model,mae,rmse,r2
8000,2000,Analytical control,Mixed-B-only regression fit,0.0553480707442845,0.1075635903271663,0.9846901954210594
8000,2000,经典回归,Linear Regression,0.2962529755749163,0.3701731372018661,0.8186786823110925
8000,2000,经典回归,Polynomial Regression (deg=5),0.070965666450593,0.1319377683939527,0.9769655771248246
8000,2000,经典回归,SVR (RBF),0.058695616244555,0.1142154949236589,0.9827380792146548
8000,2000,经典回归,Random Forest,0.0625013799853676,0.1215791030114128,0.980440536551736
8000,2000,经典回归,"Spline Regression (B-spline, 10 knots)",0.0572699004985158,0.111100308340154,0.9836668633413426
8000,2000,经典回归,Nystroem RBF + Ridge (Kriging approx),0.0568352945958917,0.110769149294414,0.9837640872801376
8000,2000,经典回归,Nystroem RBF(1024) + Ridge,0.056835294511687,0.1107691492812399,0.9837640872839996
8000,2000,经典回归,"KNN (k=25, distance)",0.0650690718338462,0.12889542549034,0.9780156273891236
8000,2000,经典回归,Decision Tree (max_depth=18),0.0640590497028088,0.1252737825614026,0.9792336844466012
8000,2000,经典回归,ExtraTrees,0.065122429424489,0.1289101175463735,0.9780106153564428
8000,2000,经典回归,ElasticNet,0.2963393118197812,0.3701492074431813,0.818702124504459
8000,2000,经典回归,KernelRidge (RBF),0.0568776368768503,0.1109312107458314,0.9837165444326046
8000,2000,经典回归,HistGradientBoosting,0.0566125539758453,0.1087306844343188,0.9843561619645972
8000,2000,经典回归,GradientBoosting,0.0568774416733171,0.1099854809475306,0.9839930059397664
8000,2000,经典回归,AdaBoost (Tree base),0.0584324835076929,0.1142173565829859,0.982737516487544
8000,2000,经典回归,Bagging (Tree base),0.0600754772503311,0.1159305282003719,0.9822157851468936
8000,2000,经典回归,BayesianRidge,0.2962552153815745,0.3701724884461776,0.818679317868465
8000,2000,经典回归,HuberRegressor,0.2728194334663624,0.402389014501129,0.7857448357511223
8000,2000,经典回归,Lasso,0.2963576948030106,0.3701444171868629,0.8187068169779619
8000,2000,经典回归,LinearSVR,0.2677226494302174,0.433538406487479,0.7512894423501222
8000,2000,经典回归,NuSVR (RBF),0.0571688236432632,0.1143394202177232,0.9827006000769148
8000,2000,经典回归,"SVR (poly, deg=3)",0.6108432438785689,0.7410819364817705,0.2732726203761175
8000,2000,经典回归,SGDRegressor,0.2982345137954645,0.3700133942746843,0.8188351417916192
8000,2000,经典回归,RANSACRegressor,0.2913353028500361,0.5286561315306232,0.630184070037648
8000,2000,经典回归,TheilSenRegressor,0.2832953467206945,0.4874405744664801,0.6856000841014462
8000,2000,经典回归,RadiusNeighbors (radius=1.0),0.2521926491647897,0.3423532036309679,0.8449085487993395
