pressure,depth,temp_obs,temp_pred
1570.0,1570.0,2.308,-441.68658
270.0,270.0,4.278025,-73.68935
588.0,588.0,3.817,-164.02597
2042.0,2042.0,1.94325,-575.0065
1170.0,1170.0,2.7446,-328.35538
1839.0,1839.0,2.0923667,-517.14844
1266.0,1266.0,2.6198332,-355.62457
1255.0,1255.0,2.610775,-352.33972
1163.0,1163.0,2.77975,-326.57227
1954.0,1954.0,1.9993,-549.9451
1473.0,1473.0,2.3968,-413.90817
954.0,954.0,3.0814333,-267.18344
796.0,796.0,3.432025,-222.58609
1234.0,1234.0,2.67005,-346.25983
479.0,479.0,4.04515,-133.63516
1329.0,1329.0,2.564225,-373.1589
871.0,871.0,3.2291,-243.54454
1886.0,1886.0,2.0492334,-529.9694
1853.0,1853.0,2.0518668,-521.00586
642.0,642.0,3.668,-179.56218
1134.0,1134.0,2.76435,-318.97598
184.0,184.0,4.80984,-50.252567
1515.0,1515.0,2.35854,-425.73984
1118.0,1118.0,2.821,-313.963
516.0,516.0,4.014,-143.71007
1728.0,1728.0,2.156125,-486.2349
1757.0,1757.0,2.144775,-494.1801
1005.0,1005.0,2.9985,-281.96365
1674.0,1674.0,2.2119,-471.06894
1868.0,1868.0,2.053625,-525.03864
770.0,770.0,3.435225,-215.64577
1670.0,1670.0,2.2106333,-469.8745
346.0,346.0,4.0776,-95.36688
1404.0,1404.0,2.462925,-394.50983
840.0,840.0,3.23925,-234.71417
535.0,535.0,3.936025,-149.38739
420.0,420.0,4.0883,-116.405495
1989.0,1989.0,1.981175,-559.63696
1815.0,1815.0,2.096025,-510.2325
1253.0,1253.0,2.596675,-351.7488
1650.0,1650.0,2.238075,-463.9434
1006.0,1006.0,2.981075,-282.25015
674.0,674.0,3.6514332,-188.64195
1171.0,1171.0,2.7852666,-328.62375
1582.0,1582.0,2.298425,-445.13388
1959.0,1959.0,1.9981667,-551.3422
1638.0,1638.0,2.24095,-460.77167
861.0,861.0,3.226675,-240.58092
1040.0,1040.0,2.956175,-291.8293
926.0,926.0,3.0849,-259.02756
277.0,277.0,4.355533,-75.85655
460.0,460.0,4.105675,-128.41458
1778.0,1778.0,2.14055,-499.68542
857.0,857.0,3.262125,-239.42526
1952.0,1952.0,2.00515,-549.37445
1555.0,1555.0,2.3085,-437.59256
254.0,254.0,4.22025,-69.56061
1753.0,1753.0,2.138625,-493.1472
1730.0,1730.0,2.159625,-486.78867
1246.0,1246.0,2.639325,-349.70724
1120.0,1120.0,2.7992,-314.61356
1688.0,1688.0,2.1974,-475.08618
989.0,989.0,3.0424666,-277.22736
885.0,885.0,3.1741333,-247.54279
470.0,470.0,4.077767,-131.0766
1306.0,1306.0,2.580225,-366.9133
1074.0,1074.0,2.8977,-301.26083
901.0,901.0,3.20895,-252.03757
1611.0,1611.0,2.27275,-453.55804
208.0,208.0,4.6808,-56.510796
2007.0,2007.0,1.95865,-564.76917
1939.0,1939.0,1.99745,-545.50006
1183.0,1183.0,2.7263668,-331.99384
1475.0,1475.0,2.3971,-414.46796
1113.0,1113.0,2.8314,-312.35208
457.0,457.0,4.08425,-127.56761
670.0,670.0,3.6416,-187.5262
1449.0,1449.0,2.41545,-407.16827
197.0,197.0,4.63625,-53.872635
1554.0,1554.0,2.302925,-437.31256
1280.0,1280.0,2.6199,-359.72852
833.0,833.0,3.34975,-232.70709
1005.0,1005.0,3.013825,-281.96365
1957.0,1957.0,1.998125,-550.788
554.0,554.0,3.8659,-154.19637
639.0,639.0,3.6858,-178.68526
1555.0,1555.0,2.3093667,-437.59256
255.0,255.0,4.506175,-69.83259
230.0,230.0,4.4485,-62.833828
976.0,976.0,3.0422332,-273.4206
785.0,785.0,3.386225,-219.64894
1851.0,1851.0,2.08655,-520.4631
448.0,448.0,4.1275,-124.94053
1511.0,1511.0,2.343675,-424.58688
774.0,774.0,3.39205,-216.76198
962.0,962.0,3.049475,-269.4724
493.0,493.0,4.003225,-137.24553
1791.0,1791.0,2.1194,-503.36264
1091.0,1091.0,2.85992,-305.8774
331.0,331.0,4.279925,-90.97
196.0,196.0,4.6755,-53.62166
2034.0,2034.0,1.968875,-572.68933
1914.0,1914.0,2.038775,-537.97314
1235.0,1235.0,2.68945,-346.546
1158.0,1158.0,2.7558668,-325.36853
459.0,459.0,4.11235,-128.13727
1659.0,1659.0,2.209975,-466.5377
1985.0,1985.0,1.9887,-558.50696
1263.0,1263.0,2.62742,-354.7274
1668.0,1668.0,2.209775,-469.2688
1234.0,1234.0,2.6781,-346.25983
1865.0,1865.0,2.0762668,-524.23505
181.0,181.0,5.06062,-49.357716
411.0,411.0,4.16185,-113.993835
625.0,625.0,3.75536,-174.50952
1002.0,1002.0,3.036875,-281.09802
220.0,220.0,4.4547,-59.974255
281.0,281.0,4.18312,-77.15611
1676.0,1676.0,2.207525,-471.65622
1544.0,1544.0,2.31824,-434.4276
1027.0,1027.0,2.997125,-288.09683
1715.0,1715.0,2.1716666,-482.66547
1828.0,1828.0,2.08545,-513.9991
399.0,399.0,4.1575,-110.64273
1908.0,1908.0,2.0252,-536.2577
1481.0,1481.0,2.378875,-416.14438
1186.0,1186.0,2.7038,-332.83105
2011.0,2011.0,1.973175,-565.93286
491.0,491.0,4.0099,-136.74854
1253.0,1253.0,2.642125,-351.7488
1506.0,1506.0,2.36495,-423.1578
285.0,285.0,4.170675,-78.413765
485.0,485.0,4.0340333,-135.25626
2014.0,2014.0,1.978875,-566.81165
564.0,564.0,3.8757668,-156.97351
1999.0,1999.0,1.979575,-562.471
715.0,715.0,3.529275,-200.14449
1317.0,1317.0,2.5347,-369.8798
