season,date_range,total_observations,train_MAE,train_RMSE,val_MAE,val_RMSE,val_R2,physics_residual_mean,physics_residual_q95,train_samples,val_samples,coef_1,coef_P,coef_ln(P),coef_sqrt(P),coef_exp(-P/500),coef_exp(-P/1200),coef_1/(P+50),coef_1/(P+500)
Spring,03-01 → 06-01,6724103,0.04246807098388672,0.06997419893741608,0.042617540806531906,0.07009327411651611,0.9932158205738998,2.2615997750108363e-06,7.564755378552945e-06,160000,40000,0.6030224561691284,-0.0006368149188347161,0.31770581007003784,-0.002319175750017166,2.4072937965393066,1.3179874420166016,0.06197519972920418,0.006653750780969858
Summer,06-01 → 09-01,6150002,0.05670658499002457,0.08275420218706131,0.056749023497104645,0.08236808329820633,0.9897190795552703,1.7377832364218193e-06,4.5993092498974875e-06,160000,40000,0.5466958284378052,-0.0009802072308957577,0.3093414902687073,0.015797682106494904,2.1085712909698486,1.2170615196228027,0.009128405712544918,0.0028800657019019127
Autumn,09-01 → 12-01,6775002,0.0525071956217289,0.0743388906121254,0.05228465422987938,0.07378213852643967,0.9912880591796347,1.6185971389859333e-06,4.117528078495525e-06,160000,40000,0.5294727087020874,-0.001038951682858169,0.30213475227355957,0.020044414326548576,2.0584824085235596,1.1817735433578491,0.010751266032457352,0.003030143678188324
Winter,12-01 → 03-01,7458658,0.05015916749835014,0.06444614380598068,0.049497250467538834,0.06349822133779526,0.9934580782957557,1.6640838111925405e-06,4.4432940740080085e-06,160000,40000,0.5194592475891113,-0.001014788169413805,0.2995581328868866,0.019528033211827278,2.124821662902832,1.2033942937850952,-0.005419365596026182,0.002475813962519169
