season,date_range,start_month,start_day,end_month,end_day,total_observations,train_MAE,train_RMSE,val_MAE,val_RMSE,val_R2,physics_residual_mean,physics_residual_q95,train_samples,val_samples,coefficients,coef_1,coef_P,coef_ln(P),coef_sqrt(P),coef_exp(-P/500),coef_exp(-P/1200),coef_1/(P+50),coef_1/(P+500)
Season1,01-22 → 05-27,1,22,5,27,9518725,0.038832563906908,0.0680984929203987,0.0385448932647705,0.0672072395682334,0.993363671260608,2.0762417989317328e-06,6.778999704692978e-06,160000,40000,"[ 5.7596314e-01 -7.1427238e-04  3.1025073e-01  2.9990815e-03
  2.3560741e+00  1.2903242e+00  4.1273985e-02  5.4942616e-03]",0.5759631395339966,-0.0007142723770812,0.3102507293224334,0.0029990815091878,2.356074094772339,1.2903242111206057,0.0412739850580692,0.0054942616261541
Season2,05-27 → 07-21,5,27,7,21,3582919,0.0682862773537635,0.1429240852594375,0.0681314244866371,0.1410073488950729,0.9733314133065202,2.168553692172281e-06,6.69041219225619e-06,160000,40000,"[ 5.9458655e-01 -7.6069939e-04  3.2077396e-01  2.8062679e-03
  2.3255737e+00  1.3024250e+00  4.3475892e-02  5.2575921e-03]",0.5945865511894226,-0.0007606993895024,0.3207739591598511,0.00280626793392,2.325573682785034,1.3024250268936155,0.0434758923947811,0.0052575920708477
Season3,07-21 → 10-20,7,21,10,20,6482500,0.0539341233670711,0.0782161951065063,0.0535848923027515,0.0774682238698005,0.9907621874339994,1.7324639429716626e-06,4.597592578647891e-06,160000,40000,"[ 5.4387981e-01 -9.8278711e-04  3.0715358e-01  1.6286766e-02
  2.1132624e+00  1.2122087e+00  1.2659704e-02  3.1764002e-03]",0.5438798069953918,-0.0009827871108427,0.307153582572937,0.0162867661565542,2.113262414932251,1.2122087478637695,0.0126597043126821,0.0031764002051204
Season4,10-20 → 01-22,10,20,1,22,7523621,0.0483890511095523,0.064938798546791,0.0482183061540126,0.0643713846802711,0.9932284995155318,1.6379183307435596e-06,4.320409516367363e-06,160000,40000,"[ 5.1895976e-01 -1.0251953e-03  2.9805872e-01  2.0407645e-02
  2.1116700e+00  1.1931987e+00  2.4961554e-03  2.8845384e-03]",0.5189597606658936,-0.0010251953499391,0.2980587184429168,0.0204076450318098,2.111670017242432,1.1931986808776855,0.0024961554445326,0.0028845383785665
