segment_id,time_range,train_MAE,train_RMSE,val_MAE,val_RMSE,val_R2,physics_residual_mean,physics_residual_q95,train_samples,val_samples,coef_1,coef_P,coef_ln(P),coef_sqrt(P),coef_exp(-P/500),coef_exp(-P/1200),coef_1/(P+50),coef_1/(P+500)
S1,2013-07-26 11:00:00 → 2015-10-26 17:00:00,0.07607804983854294,0.09700614959001541,0.07512939721345901,0.09576020389795303,0.9787666323254874,9.986462146116537e-07,1.4759117448193138e-06,48000,12000,0.3977183997631073,-0.0015613293508067727,0.26059168577194214,0.05089571699500084,1.5393182039260864,0.9535301327705383,-0.04366626590490341,-0.00065100152278319
S2,2015-10-26 18:00:00 → 2020-05-14 23:00:00,0.04790159687399864,0.06667092442512512,0.047978244721889496,0.06750898063182831,0.9916319865527334,1.3545513866120018e-06,3.4289860195713118e-06,48000,12000,0.48342302441596985,-0.0010805110214278102,0.2787036895751953,0.02677164040505886,1.9948943853378296,1.117814064025879,0.021616313606500626,0.003832008922472596
S3,2020-05-15 17:00:00 → 2022-04-11 21:00:00,0.05645262822508812,0.08229982852935791,0.05666548013687134,0.08217385411262512,0.9898579928202492,1.7529283695694176e-06,4.633703156287083e-06,48000,12000,0.5453839898109436,-0.000979353440925479,0.30839645862579346,0.015950161963701248,2.1146528720855713,1.2187550067901611,0.009448702447116375,0.0029160305857658386
S4,2022-04-12 16:00:00 → 2025-06-11 00:00:00,0.03375117853283882,0.056611061096191406,0.03362401947379112,0.05649205669760704,0.9954619275810519,2.260195515191299e-06,8.005153176782187e-06,48000,12000,0.5962196588516235,-0.000592145137488842,0.31259796023368835,-0.0032492391765117645,2.4723360538482666,1.3269312381744385,0.06494580209255219,0.007150477729737759
