P,obs_mean,pred_global,pred_uniform,pred_dopt,err_global,err_uniform,err_dopt
174.35,4.859865623379616,4.909545815210684,4.31179245312398,4.823761161268493,0.049680191831068754,0.5480731702556358,0.036104462111122615
198.60106382978722,4.715943499873139,4.66175089700706,4.323990399559284,4.6678362673578615,0.05419260286607841,0.391953100313855,0.048107232515277154
224.0344827586207,4.481915214833621,4.486721770714119,4.31938389591806,4.538706276181397,0.0048065558804983866,0.16253131891556105,0.05679106134777623
249.31978319783198,4.391735000877778,4.367314588336143,4.3022280821762795,4.435078512900951,0.02442041254163474,0.08950691870149807,0.043343512023173325
274.97074468085106,4.27015305388484,4.280822261168751,4.275557687503715,4.347952553818377,0.010669207283910964,0.00540463361887511,0.07779949993353696
300.57216494845363,4.244859248587887,4.215762748499458,4.242107675867254,4.2739822042090125,0.029096500088429345,0.0027515727206335328,0.029122955621125435
326.35849056603774,4.150137118429245,4.162902363796945,4.203312909342571,4.208889638265751,0.012765245367700295,0.05317579091332636,0.058752519836505535
351.8824940047962,4.088596456268585,4.117553091936344,4.161164100590478,4.151104534595513,0.0289566356677593,0.072567644321893,0.06250807832692828
377.513698630137,4.049040474560046,4.075477411371438,4.116053156769258,4.097772149975555,0.026436936811391476,0.06701268220921186,0.04873167541550849
402.52,4.0406779058816475,4.035677582399792,4.070056112156683,4.048885549109661,0.005000323481855418,0.029378206275035623,0.008207643228013595
428.1862068965517,3.9914181937606896,3.9948100248110876,4.021364747969233,4.000874385286682,0.0033918310503979754,0.029946554208543752,0.00945619152599253
454.479012345679,3.9512395972958023,3.9521461030727636,3.9703922196383736,3.9531268457817674,0.000906505776961275,0.019152622342571313,0.0018872484859651095
479.84197530864196,3.9361959176953087,3.9098487838379015,3.9205267838569373,3.9078464383430997,0.02634713385740728,0.01566913383837143,0.028349479352208995
505.57142857142856,3.8760592960288056,3.865661528392522,3.8695243692629226,3.8622538328526197,0.010397767636283639,0.006534926765882965,0.013805463176185917
530.8472222222222,3.8231159355710647,3.8210201920561104,3.819231625407978,3.8174952832709064,0.002095743514954229,0.003884310163086546,0.005620652300158291
556.0216346153846,3.7722564325778842,3.7754520374055502,3.769128137783687,3.772735721035321,0.00319560482766601,0.003128294794197295,0.0004792884574369438
582.3290870488323,3.738772082701274,3.7268256838834333,3.71690877402677,3.7256186767157278,0.011946398817840542,0.021863308674503923,0.01315340598554604
608.2899543378995,3.690887098009589,3.678032335786355,3.6656428026168637,3.678686013447127,0.012854762223233784,0.025244295392725213,0.01220108456246205
633.6428571428571,3.6401676394684728,3.6298101068978426,3.615931251033734,3.6323892436255587,0.010357532570630212,0.024236388434738743,0.007778395842914065
659.2554744525547,3.6035427169498786,3.5807196414802434,3.5661467475100537,3.5851430663818906,0.022823075469635246,0.03739596943982493,0.01839965056798798
684.5555555555555,3.53948219351513,3.532044564982229,3.5174658669936107,3.5380198993411884,0.007437628532901197,0.022016326521519414,0.001462294173941725
