time,res_score,dist_score,coef_score,total_score
2015-10-26 18:00:00,0.0,0.0,0.0,0.1
2019-05-09 14:00:00,0.42666256207382847,0.061124653173517084,0.44338393071722837,0.32201759999675506
2020-05-15 17:00:00,0.0,0.0,0.0,0.1
2021-02-23 11:00:00,0.467472403555406,0.5679242423334768,0.0,0.3573662341222055
2021-03-26 18:00:00,0.2738083154701553,0.6615419398830112,0.0,0.3079859081529655
2021-05-15 20:00:00,0.14701570111503315,0.807597309840697,0.0,0.30108547339822234
2021-07-01 18:00:00,0.0,0.9412710528237037,0.0,0.2823813158471111
2021-07-04 21:00:00,0.0,0.95029196925714,0.0,0.28508759077714196
2021-07-08 01:00:00,0.0,0.9588339699414854,0.0,0.2876501909824456
2021-07-11 04:00:00,0.0,0.9667980481005115,0.0,0.29003941443015346
2021-07-14 07:00:00,0.0,0.9729718808372886,0.0,0.29189156425118656
2021-07-17 10:00:00,0.0,0.9789863829298455,0.0,0.29369591487895363
2021-07-20 13:00:00,0.5787083759608863,0.9880944122250748,0.0,0.527911674051877
2021-07-27 12:00:00,0.0,1.0,0.0,0.3
2021-07-27 13:00:00,0.0,0.9983355269997465,0.0,0.29950065809992393
2021-07-27 14:00:00,0.0,0.9917087611403609,0.0,0.29751262834210823
2021-07-28 08:00:00,0.0,0.9826188447189909,0.0,0.29478565341569724
2021-07-28 09:00:00,0.0,0.9770455736628803,0.0,0.2931136720988641
2021-07-30 20:00:00,0.0,0.9719357943907297,0.0,0.2915807383172189
2021-07-30 21:00:00,0.0,0.965629986198906,0.0,0.2896889958596718
2021-07-30 22:00:00,0.0,0.9579583799983388,0.0,0.28738751399950163
2021-07-31 15:00:00,0.0,0.9497773481757811,0.07313862005150933,0.3068747904681871
2021-07-31 16:00:00,0.0,0.9427983956876507,0.0,0.2828395187062952
2021-07-31 17:00:00,0.0,0.9383571425572157,0.0,0.2815071427671647
2021-08-01 12:00:00,0.0,0.9376466412309648,0.0,0.2812939923692894
2021-08-01 13:00:00,0.0,0.93427096229329,0.0,0.28028128868798696
2022-04-12 16:00:00,0.0,0.21977532662730354,1.0,0.36593259798819106
2023-03-13 13:00:00,0.0,0.0,0.0,0.1
2024-06-28 08:00:00,1.0,0.05159972979811352,0.0,0.4154799189394341
2024-07-01 18:00:00,0.85471262252867,0.026094972668156375,0.0,0.3497135408119149
2024-09-13 01:00:00,0.0,0.03131086834058802,0.925325243709047,0.28699083361489053
2024-09-20 12:00:00,0.6870483703541957,0.014956668618746546,0.0,0.27930634872730226
2024-09-25 12:00:00,0.7040540639996941,0.014308901907703928,0.0,0.28591429617218883
